time,north(meters),east(meters),down(meters),distance(meters),num_sats,flags,num_hypothesis
2015-07-30 17:42:38.399956,0.6230,-1.9310,0.6330,2.1255,10,0x00,1
2015-07-30 17:42:38.499956,0.6250,-1.9310,0.6290,2.1249,10,0x00,1
2015-07-30 17:42:38.599956,0.6160,-1.9270,0.6180,2.1154,10,0x00,1
2015-07-30 17:42:38.700047,0.6140,-1.9180,0.6380,2.1125,10,0x00,1
2015-07-30 17:42:38.800047,0.6060,-1.8710,0.6340,2.0664,10,0x00,1
2015-07-30 17:42:38.900047,0.6040,-1.8670,0.6310,2.0612,10,0x00,1
2015-07-30 17:42:39.000047,0.6070,-1.8730,0.6360,2.0691,10,0x00,1
2015-07-30 17:42:39.100047,0.6260,-1.8780,0.6570,2.0858,10,0x00,1
2015-07-30 17:42:39.200047,0.6240,-1.8750,0.6620,2.0840,10,0x00,1
2015-07-30 17:42:39.300047,0.6320,-1.8760,0.6740,2.0912,10,0x00,1
2015-07-30 17:42:39.400047,0.6280,-1.8750,0.6750,2.0894,10,0x00,1
2015-07-30 17:42:39.500047,0.6260,-1.8520,0.6620,2.0640,10,0x00,1
2015-07-30 17:42:39.600047,0.6430,-1.8640,0.6830,2.0867,10,0x00,1
2015-07-30 17:42:39.700047,0.6450,-1.8670,0.6890,2.0920,10,0x00,1
2015-07-30 17:42:39.800047,0.6390,-1.8530,0.6850,2.0763,10,0x00,1
2015-07-30 17:42:39.900047,0.6400,-1.8550,0.6840,2.0781,10,0x00,1
2015-07-30 17:42:40.000047,0.6370,-1.8350,0.6830,2.0590,10,0x00,1
2015-07-30 17:42:40.100047,0.6330,-1.8270,0.6690,2.0460,10,0x00,1
2015-07-30 17:42:40.200047,0.6270,-1.8340,0.6580,2.0469,10,0x00,1
2015-07-30 17:42:40.300047,0.6260,-1.8310,0.6550,2.0429,10,0x00,1
2015-07-30 17:42:40.400047,0.6190,-1.8340,0.6620,2.0457,10,0x00,1
2015-07-30 17:42:40.500047,0.6170,-1.8270,0.6490,2.0347,10,0x00,1
2015-07-30 17:42:40.800047,0.6220,-1.7810,0.6500,1.9953,10,0x00,1
2015-07-30 17:42:40.900047,0.6140,-1.7770,0.6350,1.9844,10,0x00,1
2015-07-30 17:42:41.000047,0.6210,-1.7810,0.6520,1.9957,10,0x00,1
2015-07-30 17:42:41.099956,0.6070,-1.7540,0.6460,1.9653,10,0x00,1
2015-07-30 17:42:41.199956,0.6110,-1.7540,0.6400,1.9645,10,0x00,1
2015-07-30 17:42:41.299956,0.5920,-1.7100,0.6380,1.9188,10,0x00,1
2015-07-30 17:42:41.399956,0.6080,-1.6910,0.6700,1.9178,10,0x00,1
2015-07-30 17:42:41.499956,0.6070,-1.6920,0.6600,1.9149,10,0x00,1
2015-07-30 17:42:41.599956,0.6190,-1.7010,0.6750,1.9319,10,0x00,1
2015-07-30 17:42:41.699956,0.6050,-1.6760,0.6640,1.9016,10,0x00,1
2015-07-30 17:42:41.799956,0.5940,-1.6470,0.6400,1.8641,10,0x00,1
2015-07-30 17:42:41.899956,0.5950,-1.6530,0.6320,1.8670,10,0x00,1
2015-07-30 17:42:41.999956,0.5960,-1.6390,0.6230,1.8519,10,0x00,1
2015-07-30 17:42:42.099956,0.5970,-1.6320,0.6390,1.8515,10,0x00,1
2015-07-30 17:42:42.199956,0.5920,-1.6180,0.6180,1.8304,10,0x00,1
2015-07-30 17:42:42.299956,0.5860,-1.6190,0.6030,1.8243,10,0x00,1
